number of reads,number of barcodes
1,108659
2,4818
3,2460
4,1822
5,1741
6,1959
7,2175
8,2569
9,3257
10,3733
11,4463
12,5329
13,6178
14,7280
15,8584
16,9934
17,11541
18,13313
19,15254
20,17252
21,19517
22,21353
23,22899
24,24472
25,25172
26,25439
27,25601
28,24887
29,23675
30,21733
31,19695
32,17662
33,15550
34,13199
35,11049
36,9010
37,7151
38,5788
39,4403
40,3290
41,2529
42,1790
43,1389
44,1034
45,732
46,566
47,401
48,317
49,283
50,223
51,177
52,180
53,166
54,148
55,148
56,129
57,129
58,120
59,86
60,86
61,94
62,67
63,65
64,50
65,62
66,53
67,47
68,37
69,31
70,38
71,33
72,21
73,25
74,32
75,33
76,23
77,20
78,22
79,24
80,18
81,22
82,17
83,11
84,13
85,10
86,12
87,18
88,10
89,8
90,12
91,7
92,11
93,10
94,11
95,10
96,11
97,4
98,5
99,3
100,14
101,4
102,11
103,6
104,4
105,6
106,5
107,2
108,5
109,3
110,6
111,4
112,3
113,4
114,8
115,7
116,3
117,7
118,4
119,3
120,6
121,1
122,2
124,1
125,3
126,2
127,5
128,1
129,4
130,3
131,4
132,7
133,4
134,3
135,4
136,4
137,3
138,3
140,1
142,3
143,4
144,3
145,1
146,1
147,2
148,1
150,3
151,2
152,3
153,2
154,1
155,2
156,3
158,2
159,2
160,1
161,3
162,2
163,2
164,1
165,2
166,2
167,2
168,1
169,2
170,2
171,1
172,5
174,1
175,1
176,4
177,1
179,1
180,3
181,2
182,2
186,1
188,2
191,2
193,2
194,1
196,3
197,1
204,1
205,1
206,2
207,1
208,1
212,2
213,1
215,1
216,1
218,1
219,2
227,4
230,1
231,1
233,1
235,1
239,1
248,2
253,1
256,1
257,1
258,1
260,1
267,1
273,1
274,1
276,1
279,1
281,1
286,1
301,1
303,1
306,1
307,1
313,1
318,1
321,1
322,1
332,1
343,1
375,1
377,1
380,1
381,1
422,1
463,1
491,1
513,1
515,1
542,1
549,1
556,1
598,1
642,1
685,1
763,1
1229,1
1381,1
2194,1
