number of reads,number of barcodes
1,514736
2,167299
3,193814
4,202502
5,192915
6,172572
7,143697
8,113686
9,85287
10,60966
11,40984
12,26879
13,16807
14,10414
15,6156
16,3722
17,2295
18,1405
19,905
20,636
21,439
22,354
23,294
24,224
25,189
26,128
27,114
28,112
29,101
30,108
31,86
32,71
33,59
34,69
35,50
36,53
37,42
38,38
39,34
40,30
41,29
42,30
43,14
44,24
45,24
46,27
47,19
48,17
49,21
50,20
51,18
52,11
53,17
54,11
55,13
56,15
57,15
58,14
59,9
60,7
61,9
62,1
63,19
64,12
65,6
66,7
67,8
68,1
69,7
70,7
71,10
72,9
73,5
74,5
75,3
76,6
77,2
78,5
79,5
80,6
81,4
82,4
83,5
84,3
85,3
86,6
87,7
88,6
89,1
90,5
91,3
92,6
93,1
94,1
95,5
96,7
97,1
98,2
99,1
100,6
101,4
102,4
104,1
105,1
106,5
108,2
110,2
111,1
113,2
114,1
115,3
117,4
118,1
119,3
120,1
121,2
122,1
123,2
125,2
126,3
127,1
128,1
130,1
132,2
133,1
134,1
135,1
136,2
137,1
138,1
141,1
142,2
143,1
144,2
151,2
154,1
156,1
157,1
158,1
159,2
160,1
166,1
167,1
168,3
169,1
170,1
174,1
177,1
182,1
184,1
202,1
204,1
210,2
213,1
224,1
228,1
235,1
241,1
245,1
251,1
258,2
261,1
269,1
273,1
277,1
304,1
331,1
377,1
392,1
453,1
504,1
575,1
631,1
734,1
866,1
952,1
